titular,empresa,variedade,tipo_ciclo,inicio_ret,NºRNC,grupo__qualidade,ano_class_qualidade
NIDERA,SYNGENTA,BAGUETTE820,I,2021,20447,GRUPO DE CALIDAD 3,2023
NIDERA,SYNGENTA,BAGUETTE 525,C,2022,21533,GRUPO DE CALIDAD 3,2023
RAGT,RAGT,RGT QUIRIKO,I,2021,19549,GRUPO DE CALIDAD 3,2023
SAS FLORIMOND DESPREZ V. ET F.,BIOCERES,TIMBO,L,2013,14487,GRUPO DE CALIDAD 3,2023
SAS FLORIMOND DESPREZ V.ET F.,ASOCIADOS DON MARIO S.A.,MAITEN,L,2021,20355,GRUPO DE CALIDAD 3,2023
SAS FLORIMOND DESPREZ V.ET F.,BIIOSEMINIS,JACARANDA,L,2018,18026,GRUPO DE CALIDAD 3,2023
SAS FLORIMOND DESPREZ V.ET F.,BIOCERES,GUAYABO,L,2018,17945,GRUPO DE CALIDAD 3,2023
SAS FLORIMOND DESPREZ V.ET F.,BIOCERES,GINGKO,C,2017,17944,GRUPO DE CALIDAD 3,2023
SYNGENTA,BUCK SEMILLAS S.A.,SY109,L,2020,14478,GRUPO DE CALIDAD 3,2023
LIMAGRAIN,LIMAGRAIN,LGBAYO,I,2023,21689,GRUPO DE CALIDAD 3,2023
INTA,LDC,MSINTA 323,L,2023,,GRUPO DE CALIDAD 3,2023
INTA,LDC,MSINTA923,C,2023,,GRUPO DE CALIDAD 3,2023
ACA,ACA,ACA 360 ,L,2013,14471,GRUPO DE CALIDAD 1,2021
ACA,ACA,365,L,2018,17983,GRUPO DE CALIDAD 1,2021
ACA,ACA,920,C,2018,17986,GRUPO DE CALIDAD 1,2021
ASOCIADOS DON MARIO,ADM,HORNERO IS,C,2021,20492,GRUPO DE CALIDAD 1,2021
ACA,ASOCIADOS DON MARIO,CAMBIUM ,C,2013,14474,GRUPO DE CALIDAD 1,2021
BIOTRIGO,ASOCIADOS DON MARIO,TBIO AUDAZ,C,2019,17458,GRUPO DE CALIDAD 1,2021
BUCK SEMILLAS S.A.,BUCK SEMILLAS S.A.,BUCK METEORO ,I,2007,10658,GRUPO DE CALIDAD 1,2021
BUCK SEMILLAS S.A.,BUCK SEMILLAS S.A.,BUCK SAETA,C,2015,15754,GRUPO DE CALIDAD 1,2021
BUCK SEMILLAS S.A.,BUCK SEMILLAS S.A.,BUCK CLARAZ,C,2016,16333,GRUPO DE CALIDAD 1,2021
BUCK SEMILLAS S.A.,BUCK SEMILLAS S.A.,BUCK DESTELLO,L,2017,17282,GRUPO DE CALIDAD 1,2021
BUCK SEMILLAS S.A.,BUCK SEMILLAS S.A.,BUCK CAMBÁ,C,2018,17978,GRUPO DE CALIDAD 1,2021
BUCK SEMILLAS S.A.,BUCK SEMILLAS S.A.,BUCK RESPLANDOR,L,2019,18645,GRUPO DE CALIDAD 1,2021
BUCK SEMILLAS S.A.,BUCK SEMILLAS S.A.,BUCK FULGOR,C,2021,20345,GRUPO DE CALIDAD 1,2021
BUCK SEMILLAS S.A.,CAPELLONI,BUCK GLUTINO ,C,2007,10015,GRUPO DE CALIDAD 1,2021
BUCK SEMILLAS S.A.,CAPELLONI,BUCK GUATIMOZIN,L,2002,7355,GRUPO DE CALIDAD 1,2021
BUCK SEMILLAS S.A.,CAPELLONI,BUCK NORTEÑO,L,2006,9525,GRUPO DE CALIDAD 1,2021
CRIADERO KLEIN S.A.,CRIADERO KLEIN S.A.,KLEIN CIEN AÑOS,L,2019,18693,GRUPO DE CALIDAD 1,2021
CRIADERO KLEIN S.A.,CRIADERO KLEIN S.A.,KLEIN PROTEO,I,2003,8093,GRUPO DE CALIDAD 1,2021
CRIADERO KLEIN S.A.,CRIADERO KLEIN S.A.,KLEINPROMETEO ,L,2016,16310,GRUPO DE CALIDAD 1,2021
CRIADERO KLEIN S.A.,CRIADERO KLEIN S.A.,KLEIN MINERVA,L,2017,17347,GRUPO DE CALIDAD 1,2021
CRIADERO KLEIN S.A.,CRIADERO KLEIN S.A.,KLEIN VALOR,C,2018,17993,GRUPO DE CALIDAD 1,2021
CRIADERO KLEIN S.A.,CRIADERO KLEIN S.A.,KLEIN POTRO,C,2018,17994,GRUPO DE CALIDAD 1,2021
INTA,LCD SEMILLAS S.A.,MS INTA 819,C,2019,18634,GRUPO DE CALIDAD 1,2021
INTA,LDC SEMILLAS,MS INTA BON. 514,I,2015,15244,GRUPO DE CALIDAD 1,2021
LIMAGRAIN,LIMAGRAIN,LG ARLASK,I,2017,17150,GRUPO DE CALIDAD 1,2021
NIDERA,NIDERA,BAGUETTE 450,C,2017,17153,GRUPO DE CALIDAD 1,2021
ACA,ACA,603,I,2019,19303,GRUPO DE CALIDAD 2,2022
ACA,ACA,916,C,2019,18896,GRUPO DE CALIDAD 2,2022
ACA,ACA,915,C,2018,17984,GRUPO DE CALIDAD 2,2022
ACA,ACA,ACA 909,C,2015,15733,GRUPO DE CALIDAD 2,2022
ACA,ACA,ACA 602,I,2013,14472,GRUPO DE CALIDAD 2,2022
ACA,ACA,ACA 917,I,2020,19479,GRUPO DE CALIDAD 2,2022
ACA,ACA,ACA 362,L,2020,19475,GRUPO DE CALIDAD 2,2022
